 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 6.    Time:   0: 6:38
 Units: L = cm   , T = days , M = mmol 



                               Node(  2)                      Node(  6)                      Node( 16)                      Node( 31)                      Node( 51)                      Node( 81)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
        343.0000     -471.01  0.3231  0.225E-01       -455.43  0.3411  0.209E-01       -423.49  0.3099  0.159E-01       -385.76  0.3244  0.589E-02       -348.28  0.3404 -0.167E-01       -316.89  0.3645 -0.431E-01
        344.0000     -487.55  0.3208  0.294E-01       -469.28  0.3391  0.241E-01       -435.43  0.3081  0.162E-01       -397.09  0.3227  0.737E-02       -358.24  0.3384 -0.146E-01       -326.63  0.3626 -0.408E-01
        345.0000     -506.14  0.3187  0.288E-01       -486.40  0.3366  0.254E-01       -450.39  0.3058  0.165E-01       -411.20  0.3205  0.788E-02       -370.57  0.3359 -0.116E-01       -338.78  0.3603 -0.378E-01
        346.0000     -525.91  0.3165  0.303E-01       -504.57  0.3345  0.277E-01       -464.76  0.3036  0.176E-01       -424.34  0.3185  0.801E-02       -382.48  0.3334 -0.736E-02       -349.86  0.3582 -0.348E-01
        347.0000     -544.15  0.3145  0.270E-01       -523.00  0.3324  0.258E-01       -481.04  0.3011  0.192E-01       -438.76  0.3163  0.839E-02       -396.27  0.3311 -0.357E-02       -361.93  0.3559 -0.316E-01
        348.0000     -563.17  0.3124  0.288E-01       -540.34  0.3304  0.262E-01       -496.53  0.2991  0.213E-01       -451.47  0.3143  0.887E-02       -408.71  0.3290 -0.386E-02       -372.38  0.3538 -0.284E-01
        349.0000     -588.68  0.3097  0.344E-01       -561.73  0.3280  0.287E-01       -514.67  0.2970  0.217E-01       -466.15  0.3121  0.101E-01       -422.63  0.3268 -0.379E-02       -384.46  0.3516 -0.241E-01
        350.0000     -615.39  0.3067  0.335E-01       -585.81  0.3252  0.284E-01       -536.00  0.2945  0.214E-01       -484.13  0.3093  0.126E-01       -438.94  0.3242 -0.344E-02       -401.09  0.3491 -0.206E-01
        351.0000     -262.17  0.3600 -0.812E+00       -335.80  0.3611 -0.598E+00       -492.95  0.2995 -0.108E+00       -488.50  0.3087  0.859E-02       -443.58  0.3235 -0.299E-02       -405.41  0.3484 -0.206E-01
        352.0000      -77.70  0.4255 -0.327E+01        -97.15  0.4373 -0.308E+01       -185.61  0.3645 -0.212E+01       -444.27  0.3154 -0.224E+00       -452.12  0.3221 -0.448E-02       -414.49  0.3471 -0.200E-01
        353.0000     -155.02  0.3915 -0.555E+00       -163.10  0.4080 -0.618E+00       -192.72  0.3621 -0.763E+00       -294.94  0.3430 -0.655E+00       -443.58  0.3234 -0.793E-01       -424.37  0.3456 -0.192E-01
        354.0000     -220.07  0.3709 -0.666E-01       -217.80  0.3896 -0.148E+00       -225.76  0.3521 -0.335E+00       -279.20  0.3467 -0.464E+00       -402.79  0.3300 -0.203E+00       -435.16  0.3440 -0.197E-01
        355.0000     -264.77  0.3594  0.146E-01       -258.02  0.3785 -0.481E-01       -257.66  0.3433 -0.190E+00       -290.86  0.3439 -0.314E+00       -377.22  0.3345 -0.219E+00       -445.13  0.3425 -0.251E-01
        356.0000     -298.06  0.3517  0.211E-01       -289.97  0.3706 -0.219E-01       -284.96  0.3365 -0.121E+00       -307.56  0.3398 -0.225E+00       -369.31  0.3362 -0.197E+00       -452.64  0.3414 -0.334E-01
        357.0000     -327.14  0.3461  0.228E-01       -317.86  0.3646 -0.590E-02       -309.24  0.3308 -0.823E-01       -325.23  0.3363 -0.166E+00       -369.55  0.3361 -0.167E+00       -457.79  0.3406 -0.413E-01
        358.0000     -353.60  0.3411  0.241E-01       -343.57  0.3596 -0.901E-03       -332.90  0.3261 -0.605E-01       -342.05  0.3330 -0.127E+00       -375.19  0.3350 -0.141E+00       -461.72  0.3401 -0.464E-01
        359.0000     -377.85  0.3367  0.246E-01       -366.87  0.3551  0.405E-02       -353.96  0.3219 -0.445E-01       -358.07  0.3299 -0.990E-01       -383.15  0.3333 -0.120E+00       -466.23  0.3394 -0.490E-01
        360.0000     -283.25  0.3552 -0.341E+00       -310.01  0.3661 -0.266E+00       -350.15  0.3227 -0.128E+00       -366.69  0.3282 -0.897E-01       -386.16  0.3327 -0.105E+00       -463.11  0.3399 -0.529E-01
        361.0000     -124.65  0.4035 -0.175E+01       -149.99  0.4129 -0.157E+01       -236.63  0.3488 -0.932E+00       -350.61  0.3313 -0.223E+00       -389.35  0.3322 -0.987E-01       -460.65  0.3402 -0.547E-01
        362.0000     -223.48  0.3699 -0.100E+00       -223.62  0.3878 -0.188E+00       -240.65  0.3476 -0.371E+00       -306.27  0.3401 -0.365E+00       -385.97  0.3327 -0.136E+00       -462.89  0.3399 -0.538E-01
        363.0000     -274.30  0.3572  0.129E-01       -267.95  0.3760 -0.529E-01       -270.29  0.3402 -0.190E+00       -307.55  0.3399 -0.273E+00       -376.16  0.3347 -0.171E+00       -467.92  0.3391 -0.531E-01
        364.0000     -308.45  0.3495  0.225E-01       -300.15  0.3682 -0.201E-01       -296.09  0.3338 -0.115E+00       -321.01  0.3372 -0.200E+00       -373.63  0.3353 -0.166E+00       -474.03  0.3382 -0.543E-01
        365.0000     -285.34  0.3547 -0.165E+00       -294.11  0.3697 -0.149E+00       -309.48  0.3307 -0.135E+00       -332.37  0.3349 -0.158E+00       -372.09  0.3355 -0.151E+00       -474.75  0.3381 -0.575E-01
end
